text,specialty
for last few days cough and sore throat,General Medicine
I feel mahavari theek nahi,Gynecologist
for last few days fever and body pain,General Medicine
mujhe irregular periods hai,Gynecologist
I have sar dard aur chakkar,Neurology
since morning vomiting and nausea,Gastroenterology
mujhe stomach pain hai,Gastroenterology
I am suffering from dil tez dharak raha hai,Cardiology
mujhe kamar mein dard hai,Physiotherapy
I feel fever and body pain,General Medicine
for last few days severe headache,Neurology
I feel jild par khujli,Dermatology
I have seene mein dard,Cardiology
since morning anxiety and stress,Psychiatry
I feel eye pain,Ophthalmology
mujhe kamar mein dard hai,Physiotherapy
for last few days bukhar aur jism mein dard,General Medicine
knee pain ho raha hai,Orthopedics
mujhe irregular periods hai,Gynecologist
tez bukhar aur kamzori ho raha hai,Infectious Diseases
I have chest pain,Cardiology
mahavari theek nahi ho raha hai,Gynecologist
fever and body pain ho raha hai,General Medicine
since morning seene mein dard,Cardiology
mujhe tez bukhar aur kamzori hai,Infectious Diseases
I am suffering from fever and body pain,General Medicine
I feel bukhar aur jism mein dard,General Medicine
I am suffering from acne problem,Dermatology
I am suffering from weight loss,Endocrinology
for last few days eye pain,Ophthalmology
I feel saans ka masla,Pulmonology
I have weight loss,Endocrinology
since morning high fever with chills,Infectious Diseases
breathing problem at night ho raha hai,Pulmonology
I feel tez bukhar aur kamzori,Infectious Diseases
for last few days wet cough with phlegm,Pulmonology
pait mein dard ho raha hai,Gastroenterology
since morning stomach pain,Gastroenterology
I feel mahavari theek nahi,Gynecologist
for last few days anxiety and stress,Psychiatry
for last few days irregular periods,Gynecologist
mujhe khansi aur gala kharab hai,ENT
mujhe wazan kam ho raha hai hai,Endocrinology
I have tez bukhar aur kamzori,Infectious Diseases
I feel severe headache,Neurology
I have jild par khujli,Dermatology
I am suffering from anxiety and stress,Psychiatry
for last few days weight loss,Endocrinology
mujhe wazan kam ho raha hai hai,Endocrinology
mujhe saans ka masla hai,Pulmonology
for last few days irregular periods,Gynecologist
for last few days ghutnon mein dard,Orthopedics
mujhe severe headache hai,Neurology
mujhe fever and body pain hai,General Medicine
since morning seene mein dard,Cardiology
since morning seene mein dard,Cardiology
for last few days severe headache,Neurology
I have seene mein dard,Cardiology
I have dry cough,Pulmonology
mujhe high fever with chills hai,Infectious Diseases
I have cough and sore throat,General Medicine
for last few days sar dard aur chakkar,Neurology
I have chest pain,Cardiology
I am suffering from left chest pain,Cardiology
since morning severe headache,Neurology
I have kan mein dard,ENT
peshab mein jalan ho raha hai,Urology
for last few days vomiting and nausea,Gastroenterology
since morning sar dard aur chakkar,Neurology
for last few days acne problem,Dermatology
I have chest pain,Cardiology
I am suffering from wet cough with phlegm,Pulmonology
acne problem ho raha hai,Dermatology
I feel ankhon mein jalan,Ophthalmology
for last few days dil tez dharak raha hai,Cardiology
saans ka masla ho raha hai,Pulmonology
khansi aur gala kharab ho raha hai,ENT
left chest pain ho raha hai,Cardiology
ear pain ho raha hai,ENT
for last few days ear pain,ENT
I feel pait mein dard,Gastroenterology
since morning joint pain,Orthopedics
I am suffering from eye pain,Ophthalmology
mujhe migraine pain hai,Neurology
burning urination ho raha hai,Urology
mujhe vomiting and nausea hai,Gastroenterology
mujhe dil tez dharak raha hai hai,Cardiology
bukhar aur jism mein dard ho raha hai,General Medicine
for last few days bukhar aur jism mein dard,General Medicine
I am suffering from khansi aur gala kharab,ENT
I am suffering from skin rash and itching,Dermatology
I have dil tez dharak raha hai,Cardiology
since morning wet cough with phlegm,Pulmonology
I feel irregular periods,Gynecologist
ghabrahat aur tension ho raha hai,Psychiatry
I have back pain,Physiotherapy
for last few days cough and sore throat,General Medicine
I feel skin rash and itching,Dermatology
I am suffering from dil tez dharak raha hai,Cardiology
wet cough with phlegm ho raha hai,Pulmonology
mujhe chest pain hai,Cardiology
for last few days vomiting and nausea,Gastroenterology
since morning chest pain,Cardiology
I have ghabrahat aur tension,Psychiatry
I feel migraine pain,Neurology
mujhe ear pain hai,ENT
for last few days burning urination,Urology
I have weight loss,Endocrinology
I have kan mein dard,ENT
I have fever and body pain,General Medicine
I am suffering from joint pain,Orthopedics
I am suffering from kamar mein dard,Physiotherapy
I am suffering from stomach pain,Gastroenterology
I feel wazan kam ho raha hai,Endocrinology
since morning weight loss,Endocrinology
mujhe ghabrahat aur tension hai,Psychiatry
I am suffering from skin rash and itching,Dermatology
since morning burning urination,Urology
I am suffering from wet cough with phlegm,Pulmonology
I feel mahavari theek nahi,Gynecologist
I have kan mein dard,ENT
mujhe chest pain hai,Cardiology
I am suffering from stomach pain,Gastroenterology
kan mein dard ho raha hai,ENT
since morning mahavari theek nahi,Gynecologist
for last few days anxiety and stress,Psychiatry
I have severe headache,Neurology
wet cough with phlegm ho raha hai,Pulmonology
I feel ghabrahat aur tension,Psychiatry
ghabrahat aur tension ho raha hai,Psychiatry
for last few days ear pain,ENT
I have breathing problem at night,Pulmonology
since morning migraine pain,Neurology
seene mein dard ho raha hai,Cardiology
anxiety and stress ho raha hai,Psychiatry
I am suffering from acne problem,Dermatology
since morning ghutnon mein dard,Orthopedics
for last few days kan mein dard,ENT
I have cough and sore throat,General Medicine
mujhe saans ka masla hai,Pulmonology
mujhe back pain hai,Physiotherapy
I am suffering from ankhon mein jalan,Ophthalmology
I am suffering from ear pain,ENT
I feel bukhar aur jism mein dard,General Medicine
since morning seene mein dard,Cardiology
ghutnon mein dard ho raha hai,Orthopedics
I am suffering from fever and body pain,General Medicine
I am suffering from wet cough with phlegm,Pulmonology
I am suffering from bukhar aur jism mein dard,General Medicine
mujhe irregular periods hai,Gynecologist
I have jild par khujli,Dermatology
mujhe burning urination hai,Urology
since morning khansi aur gala kharab,ENT
dil tez dharak raha hai ho raha hai,Cardiology
tez bukhar aur kamzori ho raha hai,Infectious Diseases
I have chest pain,Cardiology
for last few days severe headache,Neurology
mujhe saans ka masla hai,Pulmonology
since morning breathing problem at night,Pulmonology
I am suffering from chest pain,Cardiology
I feel ghutnon mein dard,Orthopedics
since morning dil tez dharak raha hai,Cardiology
since morning jild par khujli,Dermatology
since morning burning urination,Urology
I am suffering from seene mein dard,Cardiology
I am suffering from acne problem,Dermatology
irregular periods ho raha hai,Gynecologist
for last few days bukhar aur jism mein dard,General Medicine
mujhe burning urination hai,Urology
since morning anxiety and stress,Psychiatry
for last few days weight loss,Endocrinology
mujhe irregular periods hai,Gynecologist
since morning chest pain,Cardiology
I have wazan kam ho raha hai,Endocrinology
jild par khujli ho raha hai,Dermatology
I feel left chest pain,Cardiology
sar dard aur chakkar ho raha hai,Neurology
mujhe ankhon mein jalan hai,Ophthalmology
I have ear pain,ENT
acne problem ho raha hai,Dermatology
since morning ear pain,ENT
for last few days wazan kam ho raha hai,Endocrinology
kamar mein dard ho raha hai,Physiotherapy
mujhe ghutnon mein dard hai,Orthopedics
I am suffering from khansi aur gala kharab,ENT
I feel burning urination,Urology
for last few days bukhar aur jism mein dard,General Medicine
since morning sar dard aur chakkar,Neurology
skin rash and itching ho raha hai,Dermatology
I feel khansi aur gala kharab,ENT
I feel knee pain,Orthopedics
since morning pait mein dard,Gastroenterology
mujhe migraine pain hai,Neurology
I have ear pain,ENT
I am suffering from anxiety and stress,Psychiatry
I have wet cough with phlegm,Pulmonology
since morning knee pain,Orthopedics
I have dry cough,Pulmonology
I have pait mein dard,Gastroenterology
I have pait mein dard,Gastroenterology
for last few days pait mein dard,Gastroenterology
mujhe ghutnon mein dard hai,Orthopedics
I feel weight loss,Endocrinology
since morning kan mein dard,ENT
I have fever and body pain,General Medicine
since morning chest pain,Cardiology
I feel ghutnon mein dard,Orthopedics
pait mein dard ho raha hai,Gastroenterology
I have jild par khujli,Dermatology
I have anxiety and stress,Psychiatry
mahavari theek nahi ho raha hai,Gynecologist
for last few days peshab mein jalan,Urology
I feel pait mein dard,Gastroenterology
I feel kamar mein dard,Physiotherapy
mujhe mahavari theek nahi hai,Gynecologist
I feel acne problem,Dermatology
I have wet cough with phlegm,Pulmonology
I feel peshab mein jalan,Urology
I have joint pain,Orthopedics
I have peshab mein jalan,Urology
kamar mein dard ho raha hai,Physiotherapy
since morning wazan kam ho raha hai,Endocrinology
I have khansi aur gala kharab,ENT
I am suffering from ankhon mein jalan,Ophthalmology
mujhe chest pain hai,Cardiology
I feel eye pain,Ophthalmology
mujhe breathing problem at night hai,Pulmonology
for last few days ankhon mein jalan,Ophthalmology
I am suffering from burning urination,Urology
ghutnon mein dard ho raha hai,Orthopedics
for last few days high fever with chills,Infectious Diseases
tez bukhar aur kamzori ho raha hai,Infectious Diseases
I am suffering from vomiting and nausea,Gastroenterology
mujhe breathing problem at night hai,Pulmonology
mujhe ear pain hai,ENT
since morning kan mein dard,ENT
I feel migraine pain,Neurology
mujhe anxiety and stress hai,Psychiatry
since morning shortness of breath,Pulmonology
breathing problem at night ho raha hai,Pulmonology
breathing problem at night ho raha hai,Pulmonology
since morning migraine pain,Neurology
mujhe eye pain hai,Ophthalmology
I feel skin rash and itching,Dermatology
for last few days tez bukhar aur kamzori,Infectious Diseases
since morning peshab mein jalan,Urology
I feel anxiety and stress,Psychiatry
mujhe fever and body pain hai,General Medicine
since morning cough and sore throat,General Medicine
since morning migraine pain,Neurology
for last few days breathing problem at night,Pulmonology
I feel severe headache,Neurology
I am suffering from mahavari theek nahi,Gynecologist
mujhe tez bukhar aur kamzori hai,Infectious Diseases
for last few days migraine pain,Neurology
for last few days dry cough,Pulmonology
I feel khansi aur gala kharab,ENT
for last few days sar dard aur chakkar,Neurology
I have ghutnon mein dard,Orthopedics
ghabrahat aur tension ho raha hai,Psychiatry
since morning weight loss,Endocrinology
I have kan mein dard,ENT
for last few days dry cough,Pulmonology
for last few days ankhon mein jalan,Ophthalmology
mujhe dil tez dharak raha hai hai,Cardiology
I am suffering from migraine pain,Neurology
I am suffering from stomach pain,Gastroenterology
mujhe kamar mein dard hai,Physiotherapy
since morning kamar mein dard,Physiotherapy
since morning ghabrahat aur tension,Psychiatry
since morning kan mein dard,ENT
since morning knee pain,Orthopedics
since morning anxiety and stress,Psychiatry
for last few days pait mein dard,Gastroenterology
kamar mein dard ho raha hai,Physiotherapy
for last few days sar dard aur chakkar,Neurology
mujhe dil tez dharak raha hai hai,Cardiology
mujhe ankhon mein jalan hai,Ophthalmology
I have wazan kam ho raha hai,Endocrinology
for last few days ghabrahat aur tension,Psychiatry
I have ghutnon mein dard,Orthopedics
for last few days migraine pain,Neurology
weight loss ho raha hai,Endocrinology
for last few days vomiting and nausea,Gastroenterology
since morning migraine pain,Neurology
mujhe kan mein dard hai,ENT
for last few days stomach pain,Gastroenterology
since morning high fever with chills,Infectious Diseases
since morning skin rash and itching,Dermatology
since morning severe headache,Neurology
I am suffering from stomach pain,Gastroenterology
since morning tez bukhar aur kamzori,Infectious Diseases
I have stomach pain,Gastroenterology
I am suffering from ankhon mein jalan,Ophthalmology
I am suffering from back pain,Physiotherapy
saans ka masla ho raha hai,Pulmonology
mujhe dil tez dharak raha hai hai,Cardiology
since morning acne problem,Dermatology
since morning eye pain,Ophthalmology
since morning anxiety and stress,Psychiatry
since morning saans ka masla,Pulmonology
I feel anxiety and stress,Psychiatry
mujhe vomiting and nausea hai,Gastroenterology
mujhe khansi aur gala kharab hai,ENT
I have migraine pain,Neurology
I am suffering from kamar mein dard,Physiotherapy
for last few days dry cough,Pulmonology
vomiting and nausea ho raha hai,Gastroenterology
for last few days left chest pain,Cardiology
I am suffering from anxiety and stress,Psychiatry
I am suffering from dry cough,Pulmonology
I feel acne problem,Dermatology
migraine pain ho raha hai,Neurology
I feel knee pain,Orthopedics
I feel shortness of breath,Pulmonology
I am suffering from breathing problem at night,Pulmonology
severe headache ho raha hai,Neurology
since morning anxiety and stress,Psychiatry
I feel fever and body pain,General Medicine
migraine pain ho raha hai,Neurology
for last few days migraine pain,Neurology
migraine pain ho raha hai,Neurology
I am suffering from skin rash and itching,Dermatology
since morning wet cough with phlegm,Pulmonology
since morning mahavari theek nahi,Gynecologist
eye pain ho raha hai,Ophthalmology
I feel vomiting and nausea,Gastroenterology
since morning stomach pain,Gastroenterology
since morning ear pain,ENT
mujhe acne problem hai,Dermatology
anxiety and stress ho raha hai,Psychiatry
sar dard aur chakkar ho raha hai,Neurology
mujhe sar dard aur chakkar hai,Neurology
I have dry cough,Pulmonology
ghabrahat aur tension ho raha hai,Psychiatry
I am suffering from wet cough with phlegm,Pulmonology
since morning breathing problem at night,Pulmonology
since morning mahavari theek nahi,Gynecologist
I am suffering from dry cough,Pulmonology
I am suffering from seene mein dard,Cardiology
mujhe cough and sore throat hai,General Medicine
I feel dil tez dharak raha hai,Cardiology
since morning tez bukhar aur kamzori,Infectious Diseases
mujhe kamar mein dard hai,Physiotherapy
I feel knee pain,Orthopedics
mujhe cough and sore throat hai,General Medicine
back pain ho raha hai,Physiotherapy
I have high fever with chills,Infectious Diseases
I feel bukhar aur jism mein dard,General Medicine
for last few days shortness of breath,Pulmonology
since morning wazan kam ho raha hai,Endocrinology
mujhe vomiting and nausea hai,Gastroenterology
khansi aur gala kharab ho raha hai,ENT
for last few days shortness of breath,Pulmonology
I feel peshab mein jalan,Urology
I am suffering from high fever with chills,Infectious Diseases
mujhe joint pain hai,Orthopedics
I have ghutnon mein dard,Orthopedics
for last few days knee pain,Orthopedics
mujhe anxiety and stress hai,Psychiatry
for last few days left chest pain,Cardiology
I feel severe headache,Neurology
I feel ghabrahat aur tension,Psychiatry
for last few days breathing problem at night,Pulmonology
I have ankhon mein jalan,Ophthalmology
ghutnon mein dard ho raha hai,Orthopedics
mujhe dil tez dharak raha hai hai,Cardiology
I have ankhon mein jalan,Ophthalmology
for last few days left chest pain,Cardiology
since morning jild par khujli,Dermatology
I am suffering from mahavari theek nahi,Gynecologist
I am suffering from irregular periods,Gynecologist
I feel skin rash and itching,Dermatology
for last few days chest pain,Cardiology
for last few days shortness of breath,Pulmonology
for last few days skin rash and itching,Dermatology
since morning ghabrahat aur tension,Psychiatry
khansi aur gala kharab ho raha hai,ENT
I have fever and body pain,General Medicine
I feel shortness of breath,Pulmonology
mujhe back pain hai,Physiotherapy
mahavari theek nahi ho raha hai,Gynecologist
mujhe ear pain hai,ENT
mujhe jild par khujli hai,Dermatology
I am suffering from ear pain,ENT
for last few days stomach pain,Gastroenterology
I am suffering from high fever with chills,Infectious Diseases
since morning breathing problem at night,Pulmonology
since morning ghabrahat aur tension,Psychiatry
I am suffering from jild par khujli,Dermatology
I have high fever with chills,Infectious Diseases
since morning ghabrahat aur tension,Psychiatry
for last few days skin rash and itching,Dermatology
since morning peshab mein jalan,Urology
I have vomiting and nausea,Gastroenterology
since morning wazan kam ho raha hai,Endocrinology
for last few days dil tez dharak raha hai,Cardiology
since morning ankhon mein jalan,Ophthalmology
I am suffering from seene mein dard,Cardiology
I am suffering from migraine pain,Neurology
I have stomach pain,Gastroenterology
for last few days cough and sore throat,General Medicine
I am suffering from bukhar aur jism mein dard,General Medicine
since morning ghabrahat aur tension,Psychiatry
mujhe mahavari theek nahi hai,Gynecologist
mujhe migraine pain hai,Neurology
mujhe knee pain hai,Orthopedics
I am suffering from peshab mein jalan,Urology
since morning ankhon mein jalan,Ophthalmology
I feel khansi aur gala kharab,ENT
for last few days breathing problem at night,Pulmonology
joint pain ho raha hai,Orthopedics
left chest pain ho raha hai,Cardiology
I have seene mein dard,Cardiology
for last few days acne problem,Dermatology
sar dard aur chakkar ho raha hai,Neurology
mujhe migraine pain hai,Neurology
since morning bukhar aur jism mein dard,General Medicine
mujhe skin rash and itching hai,Dermatology
since morning kan mein dard,ENT
I feel kamar mein dard,Physiotherapy
I am suffering from vomiting and nausea,Gastroenterology
I feel mahavari theek nahi,Gynecologist
since morning pait mein dard,Gastroenterology
I am suffering from seene mein dard,Cardiology
anxiety and stress ho raha hai,Psychiatry
I have shortness of breath,Pulmonology
I have weight loss,Endocrinology
I have anxiety and stress,Psychiatry
I have wet cough with phlegm,Pulmonology
I am suffering from ghutnon mein dard,Orthopedics
ghabrahat aur tension ho raha hai,Psychiatry
I am suffering from dry cough,Pulmonology
I feel left chest pain,Cardiology
since morning knee pain,Orthopedics
I have peshab mein jalan,Urology
for last few days high fever with chills,Infectious Diseases
I have severe headache,Neurology
for last few days fever and body pain,General Medicine
I have stomach pain,Gastroenterology
for last few days weight loss,Endocrinology
I feel anxiety and stress,Psychiatry
for last few days chest pain,Cardiology
mujhe chest pain hai,Cardiology
I feel mahavari theek nahi,Gynecologist
I feel weight loss,Endocrinology
for last few days burning urination,Urology
since morning kan mein dard,ENT
for last few days sar dard aur chakkar,Neurology
mujhe ghutnon mein dard hai,Orthopedics
I am suffering from mahavari theek nahi,Gynecologist
wazan kam ho raha hai ho raha hai,Endocrinology
I have cough and sore throat,General Medicine
I have ankhon mein jalan,Ophthalmology
fever and body pain ho raha hai,General Medicine
I feel bukhar aur jism mein dard,General Medicine
I feel sar dard aur chakkar,Neurology
I have skin rash and itching,Dermatology
I am suffering from ear pain,ENT
knee pain ho raha hai,Orthopedics
since morning high fever with chills,Infectious Diseases
I feel wet cough with phlegm,Pulmonology
I have mahavari theek nahi,Gynecologist
since morning bukhar aur jism mein dard,General Medicine
khansi aur gala kharab ho raha hai,ENT
I am suffering from chest pain,Cardiology
I am suffering from ghabrahat aur tension,Psychiatry
I am suffering from wet cough with phlegm,Pulmonology
I feel breathing problem at night,Pulmonology
I have chest pain,Cardiology
mujhe back pain hai,Physiotherapy
I am suffering from weight loss,Endocrinology
I have khansi aur gala kharab,ENT
I have ankhon mein jalan,Ophthalmology
I have knee pain,Orthopedics
for last few days cough and sore throat,General Medicine
I have irregular periods,Gynecologist
I feel jild par khujli,Dermatology
for last few days kan mein dard,ENT
eye pain ho raha hai,Ophthalmology
for last few days seene mein dard,Cardiology
I feel tez bukhar aur kamzori,Infectious Diseases
mujhe ghutnon mein dard hai,Orthopedics
I feel anxiety and stress,Psychiatry
I am suffering from tez bukhar aur kamzori,Infectious Diseases
I have skin rash and itching,Dermatology
since morning wazan kam ho raha hai,Endocrinology
anxiety and stress ho raha hai,Psychiatry
mujhe back pain hai,Physiotherapy
mujhe vomiting and nausea hai,Gastroenterology
for last few days severe headache,Neurology
mujhe cough and sore throat hai,General Medicine
I feel bukhar aur jism mein dard,General Medicine
since morning wazan kam ho raha hai,Endocrinology
I feel burning urination,Urology
eye pain ho raha hai,Ophthalmology
mujhe weight loss hai,Endocrinology
for last few days ear pain,ENT
I have fever and body pain,General Medicine
mujhe ankhon mein jalan hai,Ophthalmology
for last few days mahavari theek nahi,Gynecologist
mujhe ankhon mein jalan hai,Ophthalmology
I am suffering from weight loss,Endocrinology
I feel khansi aur gala kharab,ENT
I have dry cough,Pulmonology
since morning tez bukhar aur kamzori,Infectious Diseases
skin rash and itching ho raha hai,Dermatology
I feel ghabrahat aur tension,Psychiatry
mujhe dil tez dharak raha hai hai,Cardiology
I feel chest pain,Cardiology
mujhe shortness of breath hai,Pulmonology
stomach pain ho raha hai,Gastroenterology
since morning eye pain,Ophthalmology
chest pain ho raha hai,Cardiology
severe headache ho raha hai,Neurology
anxiety and stress ho raha hai,Psychiatry
ear pain ho raha hai,ENT
I feel ghabrahat aur tension,Psychiatry
since morning eye pain,Ophthalmology
seene mein dard ho raha hai,Cardiology
kan mein dard ho raha hai,ENT
cough and sore throat ho raha hai,General Medicine
mujhe chest pain hai,Cardiology
pait mein dard ho raha hai,Gastroenterology
I am suffering from severe headache,Neurology
I have dry cough,Pulmonology
kamar mein dard ho raha hai,Physiotherapy
mujhe acne problem hai,Dermatology
mujhe kamar mein dard hai,Physiotherapy
I am suffering from back pain,Physiotherapy
mujhe anxiety and stress hai,Psychiatry
saans ka masla ho raha hai,Pulmonology
I feel seene mein dard,Cardiology
I feel severe headache,Neurology
I feel pait mein dard,Gastroenterology
peshab mein jalan ho raha hai,Urology
since morning chest pain,Cardiology
I feel peshab mein jalan,Urology
for last few days eye pain,Ophthalmology
I have kan mein dard,ENT
mujhe kamar mein dard hai,Physiotherapy
since morning acne problem,Dermatology
since morning eye pain,Ophthalmology
I have saans ka masla,Pulmonology
I have bukhar aur jism mein dard,General Medicine
for last few days joint pain,Orthopedics
for last few days severe headache,Neurology
I have left chest pain,Cardiology
I feel stomach pain,Gastroenterology
vomiting and nausea ho raha hai,Gastroenterology
for last few days cough and sore throat,General Medicine
I feel mahavari theek nahi,Gynecologist
for last few days fever and body pain,General Medicine
mujhe irregular periods hai,Gynecologist
I have sar dard aur chakkar,Neurology
since morning vomiting and nausea,Gastroenterology
mujhe stomach pain hai,Gastroenterology
I am suffering from dil tez dharak raha hai,Cardiology
mujhe kamar mein dard hai,Physiotherapy
I feel fever and body pain,General Medicine
for last few days severe headache,Neurology
I feel jild par khujli,Dermatology
I have seene mein dard,Cardiology
since morning anxiety and stress,Psychiatry
I feel eye pain,Ophthalmology
mujhe kamar mein dard hai,Physiotherapy
for last few days bukhar aur jism mein dard,General Medicine
knee pain ho raha hai,Orthopedics
mujhe irregular periods hai,Gynecologist
tez bukhar aur kamzori ho raha hai,Infectious Diseases
I have chest pain,Cardiology
mahavari theek nahi ho raha hai,Gynecologist
fever and body pain ho raha hai,General Medicine
since morning seene mein dard,Cardiology
mujhe tez bukhar aur kamzori hai,Infectious Diseases
I am suffering from fever and body pain,General Medicine
I feel bukhar aur jism mein dard,General Medicine
I am suffering from acne problem,Dermatology
I am suffering from weight loss,Endocrinology
for last few days eye pain,Ophthalmology
I feel saans ka masla,Pulmonology
I have weight loss,Endocrinology
since morning high fever with chills,Infectious Diseases
breathing problem at night ho raha hai,Pulmonology
I feel tez bukhar aur kamzori,Infectious Diseases
for last few days wet cough with phlegm,Pulmonology
pait mein dard ho raha hai,Gastroenterology
since morning stomach pain,Gastroenterology
I feel mahavari theek nahi,Gynecologist
for last few days anxiety and stress,Psychiatry
for last few days irregular periods,Gynecologist
mujhe khansi aur gala kharab hai,ENT
mujhe wazan kam ho raha hai hai,Endocrinology
I have tez bukhar aur kamzori,Infectious Diseases
I feel severe headache,Neurology
I have jild par khujli,Dermatology
I am suffering from anxiety and stress,Psychiatry
for last few days weight loss,Endocrinology
mujhe wazan kam ho raha hai hai,Endocrinology
mujhe saans ka masla hai,Pulmonology
for last few days irregular periods,Gynecologist
for last few days ghutnon mein dard,Orthopedics
mujhe severe headache hai,Neurology
mujhe fever and body pain hai,General Medicine
since morning seene mein dard,Cardiology
since morning seene mein dard,Cardiology
for last few days severe headache,Neurology
I have seene mein dard,Cardiology
I have dry cough,Pulmonology
mujhe high fever with chills hai,Infectious Diseases
I have cough and sore throat,General Medicine
for last few days sar dard aur chakkar,Neurology
I have chest pain,Cardiology
I am suffering from left chest pain,Cardiology
since morning severe headache,Neurology
I have kan mein dard,ENT
peshab mein jalan ho raha hai,Urology
for last few days vomiting and nausea,Gastroenterology
since morning sar dard aur chakkar,Neurology
for last few days acne problem,Dermatology
I have chest pain,Cardiology
I am suffering from wet cough with phlegm,Pulmonology
acne problem ho raha hai,Dermatology
I feel ankhon mein jalan,Ophthalmology
for last few days dil tez dharak raha hai,Cardiology
saans ka masla ho raha hai,Pulmonology
khansi aur gala kharab ho raha hai,ENT
left chest pain ho raha hai,Cardiology
ear pain ho raha hai,ENT
for last few days ear pain,ENT
I feel pait mein dard,Gastroenterology
since morning joint pain,Orthopedics
I am suffering from eye pain,Ophthalmology
mujhe migraine pain hai,Neurology
burning urination ho raha hai,Urology
mujhe vomiting and nausea hai,Gastroenterology
mujhe dil tez dharak raha hai hai,Cardiology
bukhar aur jism mein dard ho raha hai,General Medicine
for last few days bukhar aur jism mein dard,General Medicine
I am suffering from khansi aur gala kharab,ENT
I am suffering from skin rash and itching,Dermatology
I have dil tez dharak raha hai,Cardiology
since morning wet cough with phlegm,Pulmonology
I feel irregular periods,Gynecologist
ghabrahat aur tension ho raha hai,Psychiatry
I have back pain,Physiotherapy
for last few days cough and sore throat,General Medicine
I feel skin rash and itching,Dermatology
I am suffering from dil tez dharak raha hai,Cardiology
wet cough with phlegm ho raha hai,Pulmonology
mujhe chest pain hai,Cardiology
for last few days vomiting and nausea,Gastroenterology
since morning chest pain,Cardiology
I have ghabrahat aur tension,Psychiatry
I feel migraine pain,Neurology
mujhe ear pain hai,ENT
for last few days burning urination,Urology
I have weight loss,Endocrinology
I have kan mein dard,ENT
I have fever and body pain,General Medicine
I am suffering from joint pain,Orthopedics
I am suffering from kamar mein dard,Physiotherapy
I am suffering from stomach pain,Gastroenterology
I feel wazan kam ho raha hai,Endocrinology
since morning weight loss,Endocrinology
mujhe ghabrahat aur tension hai,Psychiatry
I am suffering from skin rash and itching,Dermatology
since morning burning urination,Urology
I am suffering from wet cough with phlegm,Pulmonology
I feel mahavari theek nahi,Gynecologist
I have kan mein dard,ENT
mujhe chest pain hai,Cardiology
I am suffering from stomach pain,Gastroenterology
kan mein dard ho raha hai,ENT
since morning mahavari theek nahi,Gynecologist
for last few days anxiety and stress,Psychiatry
I have severe headache,Neurology
wet cough with phlegm ho raha hai,Pulmonology
I feel ghabrahat aur tension,Psychiatry
ghabrahat aur tension ho raha hai,Psychiatry
for last few days ear pain,ENT
I have breathing problem at night,Pulmonology
since morning migraine pain,Neurology
seene mein dard ho raha hai,Cardiology
anxiety and stress ho raha hai,Psychiatry
I am suffering from acne problem,Dermatology
since morning ghutnon mein dard,Orthopedics
for last few days kan mein dard,ENT
I have cough and sore throat,General Medicine
mujhe saans ka masla hai,Pulmonology
mujhe back pain hai,Physiotherapy
I am suffering from ankhon mein jalan,Ophthalmology
I am suffering from ear pain,ENT
I feel bukhar aur jism mein dard,General Medicine
since morning seene mein dard,Cardiology
ghutnon mein dard ho raha hai,Orthopedics
I am suffering from fever and body pain,General Medicine
I am suffering from wet cough with phlegm,Pulmonology
I am suffering from bukhar aur jism mein dard,General Medicine
mujhe irregular periods hai,Gynecologist
I have jild par khujli,Dermatology
mujhe burning urination hai,Urology
since morning khansi aur gala kharab,ENT
dil tez dharak raha hai ho raha hai,Cardiology
tez bukhar aur kamzori ho raha hai,Infectious Diseases
I have chest pain,Cardiology
for last few days severe headache,Neurology
mujhe saans ka masla hai,Pulmonology
since morning breathing problem at night,Pulmonology
I am suffering from chest pain,Cardiology
I feel ghutnon mein dard,Orthopedics
since morning dil tez dharak raha hai,Cardiology
since morning jild par khujli,Dermatology
since morning burning urination,Urology
I am suffering from seene mein dard,Cardiology
I am suffering from acne problem,Dermatology
irregular periods ho raha hai,Gynecologist
for last few days bukhar aur jism mein dard,General Medicine
mujhe burning urination hai,Urology
since morning anxiety and stress,Psychiatry
for last few days weight loss,Endocrinology
mujhe irregular periods hai,Gynecologist
since morning chest pain,Cardiology
I have wazan kam ho raha hai,Endocrinology
jild par khujli ho raha hai,Dermatology
I feel left chest pain,Cardiology
sar dard aur chakkar ho raha hai,Neurology
mujhe ankhon mein jalan hai,Ophthalmology
I have ear pain,ENT
acne problem ho raha hai,Dermatology
since morning ear pain,ENT
for last few days wazan kam ho raha hai,Endocrinology
kamar mein dard ho raha hai,Physiotherapy
mujhe ghutnon mein dard hai,Orthopedics
I am suffering from khansi aur gala kharab,ENT
I feel burning urination,Urology
for last few days bukhar aur jism mein dard,General Medicine
since morning sar dard aur chakkar,Neurology
skin rash and itching ho raha hai,Dermatology
I feel khansi aur gala kharab,ENT
I feel knee pain,Orthopedics
since morning pait mein dard,Gastroenterology
mujhe migraine pain hai,Neurology
I have ear pain,ENT
I am suffering from anxiety and stress,Psychiatry
I have wet cough with phlegm,Pulmonology
since morning knee pain,Orthopedics
I have dry cough,Pulmonology
I have pait mein dard,Gastroenterology
I have pait mein dard,Gastroenterology
for last few days pait mein dard,Gastroenterology
mujhe ghutnon mein dard hai,Orthopedics
I feel weight loss,Endocrinology
since morning kan mein dard,ENT
I have fever and body pain,General Medicine
